envy| 【n.】[U] the feeling of wanting sth. that sb. else has 羡慕；忌妒|They only say such unkind things about you out of envy.
envy|" 【vt.】wish that you had sb. else's possessions, abilities, etc. 羡慕；忌妒"|I envy her ability to talk confidently to people she has never met before.
delight| vt. give sb. great satisfaction and enjoyment 使愉快；使高兴|Her recipe will delight anyone who loves chocolate.
delighted| a. very pleased and happy 愉快的；高兴的|Thanks for your invitation. I'd be delighted to come.
shortlist| vt. (usu. passive) (BrE) put sb. on a short list for a job or a prize 把（某人）列入入围（决选）名单|He was shortlisted for the Nobel Prize for Literature several times.
lurch|" vi. 1) if your heart or stomach lurches, it seems to move suddenly because you feel shocked, frightened, etc. （因震惊、惊恐等而）感到心猛地一跳，胃里猛地翻腾了一下"|Virginia's heart lurched painfully in her chest on hearing the news.
lurch| vi. 2) walk or move suddenly in an uncontrolled or unsteady way 突然不稳地行走（移动）；蹒跚而行|Suddenly the horse lurched to one side and the child fell off.
spin|" v. (spun, spun) 1) if your head or the room is spinning you feel as if you might faint because you are shocked, excited, or drunk （因震惊、兴奋或醉酒）头晕，感到天旋地转"|"I was pouring with sweat, and my head was spinning."
spin|" v. (spun, spun) 2) (cause to) turn round and round fast （使）快速旋转"|He spun the wheel sharply and made a U turn in the middle of the road.
clench|" v. if you clench a part of your body such as your hand or your mouth, or if it clenches, you close it tightly, esp. because you are angry or upset （尤指因生气或不安）握紧，绷紧，咬紧"|Through clenched teeth she told him to leave.
tighten| 【v.】become stiff or make a part of your body become stiff （使）（身体的某一部分）变得僵硬，变得僵直|Sofia's throat had tightened and she couldn't speak.
tighten| 【vt.】close or fasten sth. firmly by turning it 使变紧；拧紧|I'd put the new tyre on and tightened up the wheel.
scroll| vi. move information on a computer screen up or down so that you can read it （将计算机屏幕上的信息）上下滚动，滚屏（以便阅读）|Scroll to the end of the document and you will find what you need.
vaguely| ad. slightly 略微；稍微|He was vaguely aware of footsteps behind him.
fortune|" n. 1) [U] chance or luck, and the effect that it has on your life 运气；机遇"|I had the good fortune to work with a brilliant head of department.
fortune| n. 2) [C] a very large amount of money 大笔的钱；巨款|He made his fortune in car sales.
stir| vt. 1) make sb. have a strong feeling or reaction 激发，激起（强烈的感情）；引起（强烈的反应）|Looking at the photographs stirred childhood memories of the long hot summers.
stir| vt. 2) move a liquid or substance around with a spoon or stick in order to mix it together 搅；搅拌；搅动|Stir the paint to make sure it is smooth.
immune| a. 1) (not before noun) specially protected from sth. unpleasant 豁免的；可免于···的|The criminal was told that he would be immune from prosecution (起诉) if he helped the police.
immune|" a. 2) safe from a disease, because you cannot be infected by it （对···）免疫的，有免疫力的"|This blood test will show whether or not you're immune to the disease.
disturbing| a. worrying or upsetting 令人不安的；使人烦恼的|There was something about him that she found very disturbing.
psychological| a. relating to the way that your mind works and the way that this affects your behavior 心理的；精神的|"Robyn's loss of memory is a psychological problem, rather than a physical one."
clinical| a. (only before noun) relating to treating or testing people who are sick 临床的|The therapy has helped people with clinical depression.
self-conscious| a. worried and embarrassed about what you look like or what other people think of you （因顾虑自己的外表或他人的看法）忸怩的，害羞的，不自然的|Bess was self-conscious about being shorter than her two friends.
social media| n. [pl.] websites and software programs used for social networking 社交媒体|"Social media is changing the way people communicate, work, and shop."
inspiration|" n. [C, U] a good idea about what you should do, write, say, etc., esp. one which you get suddenly 灵感"|Dreams are a rich source of inspiration for some writers.
makeup| n. [U] the application of cosmetics 化妆|I got my wedding makeup done in this beauty studio.
destructive| a. causing damage to people or things 毁灭性的；造成破坏的|Lack of trust is very destructive in a relationship.
envious| a. wanting sth. that sb. else has 羡慕的；忌妒的|I'm so envious of you getting an extra day's holiday.
psychotherapist| n. [C] sb. who is trained to treat people with a mental illness by talking to them instead of giving them drugs 精神治疗医师|
resent|" vt. feel angry or upset about a situation or about sth. that sb. has done, esp. because you think that it is not fair （因受委屈而）对···感到愤恨"|I resented having to work such long hours.
resentful| a. feeling angry and upset about sth. that you think is unfair （对不公平的事）愤恨的，不满的，憎恶的|They were bitterly resentful of the fact that they had to work such long hours.
well-being|" n. [U] a feeling of being comfortable, healthy, and happy 舒适；健康；幸福"|The warm sunny weather always gives me a sense of well-being.
