epic|1) happening over a long period and involving a lot of difficulties 漫长而艰难的|"e.g. Three generations of fishermen are engaged in an [[epic]] struggle against nature, fate, and society in this moving tale.；e.g. This island is a place of great adventures and [[epic]] tales, inhabited by five tribes."
epic|2) telling a long story about brave actions and exciting events 英雄的；英勇的；史诗般的|"e.g. Three generations of fishermen are engaged in an [[epic]] struggle against nature, fate, and society in this moving tale.；e.g. This island is a place of great adventures and [[epic]] tales, inhabited by five tribes."
jagged|having a rough or pointed edge or surface 凹凸不平的；锯齿状的|"e.g. For centuries, the Rocky Mountains have captivated visitors with their [[jagged]] peaks, magnificent waterfalls, and blue lakes."
haze|"[C, U] smoke, dust, or mist in the air which is difficult to see through 烟雾；霾"|"e.g. Just as the Sun began to break through an early-morning [[haze]], I spotted three horses on a hill."
tinge|"give sth. a small amount of a particular color, emotion, or quality 着淡色于···；使带有一点（情绪、特质等）"|e.g. The light of the setting sun [[tinges]] the buildings with delicate colors.
shade|"1) [C] a particular type of red, green, blue, etc. （色彩的）浓淡，深浅，色度"|e.g. The bright yellow [[shade]] is meant to evoke the optimistic promise of a sunshine-filled day.；e.g. I spent most of the day walking on the shore or reading a novel in the [[shade]] of a large beach umbrella.
shade|2) [U] slight darkness or shelter from the direct light of the Sun made by sth. blocking it 背阴处；阴凉处|e.g. The bright yellow [[shade]] is meant to evoke the optimistic promise of a sunshine-filled day.；e.g. I spent most of the day walking on the shore or reading a novel in the [[shade]] of a large beach umbrella.
abiding|"(of a feeling, belief, etc.) lasting for a long time and not changing （感情或信念等）长久的，持久的"|e.g. My [[abiding]] memory is of him watering his plants in the garden on sunny afternoons.
scholar|"[C] sb. who knows a lot about a particular subject, esp. one that is not a science subject （尤指精于一门文科学问的）学者"|e.g. He is internationally recognized as a distinguished [[scholar]] in the field of Chinese studies.
conqueror|[C] sb. who takes complete control of a country or its people 征服者|e.g. Local people have to obey their [[conquerors]] because they want to go on living.
swerve|"make a sudden sideways movement while moving forward, usu. in order to avoid hitting sth. （通常为了避免碰撞）突然转向一边"|"e.g. The vehicle [[swerved]] off the road, hit a lamppost and rolled several times before catching fire."
shimmy|move forward or backward while also quickly moving slightly from side to side 一摇一摆地走（移动）|"e.g. The performer shook, jumped and [[shimmied]] in perfect motion, spurring the crowd to rise in an emotional applause."
trundle|"move slowly along on wheels, or make sth. do this by pushing or pulling it （使）缓慢移动（滚动）"|e.g. Hundreds of trucks full of fruit and vegetables [[trundled]] across the border each day.
caravan|1) （尤指穿越沙漠地带的）旅行队，商队|
caravan|2) （AmE trailer）（带有食宿设备的）旅行拖车|
spice|"[C, U] 香料"|
fell|1) (written) knock sb. down with great force （用力）击倒（某人）|e.g. A 25-year-old man was [[felled]] by that boxer with a single punch.；e.g. Fifteen million trees were [[felled]] by the Great Storm which hit the south of England in 1987.
fell|2) cut down a tree 砍伐（树木）|e.g. A 25-year-old man was [[felled]] by that boxer with a single punch.；e.g. Fifteen million trees were [[felled]] by the Great Storm which hit the south of England in 1987.
peril|"1) [C, usu. pl.] (lit. or fml.) a danger or problem in a particular activity or situation （某活动或情况的）危险，凶险"|e.g. These birds are able to survive the [[perils]] of the Arctic winter.；e.g. This was the second time that he had put his life in [[peril]] to rescue someone at risk of drowning.
peril|"2) [U] (lit. or fml.) great danger, esp. of being harmed or killed 巨大的危险（尤指受损或被杀）"|e.g. These birds are able to survive the [[perils]] of the Arctic winter.；e.g. This was the second time that he had put his life in [[peril]] to rescue someone at risk of drowning.
climatic|relating to the weather in a particular area 气候的|e.g. It should be noted that some parts of the world seem to be experiencing [[climatic]] changes.
traverse|"(fml.) move across, over, or through sth., esp. an area of land or water 跨过；穿过；横越；横穿"|e.g. They crossed the bridge and [[traversed]] the road out into the open country.
hostile|1) belonging to an enemy 敌人的；敌方的|e.g. They warned us that the northern half of the island was controlled by [[hostile]] forces.；e.g. Rebecca was very [[hostile]] toward us and made it clear she didn't want our help.
hostile|2) angry and deliberately unfriendly toward sb. and ready to argue with them 怀有敌意的；敌对的；不好的|e.g. They warned us that the northern half of the island was controlled by [[hostile]] forces.；e.g. Rebecca was very [[hostile]] toward us and made it clear she didn't want our help.
territory|"[C, U] land that is owned or controlled by a particular country, ruler, or military force 领土；版图；领地"|e.g. The new oil contracts will amount to a half billion dollars' worth of foreign investment in their [[territory]].
persist|"continue to do sth., although this is difficult, or other people oppose it 坚持；执意"|e.g. He urged the United States to [[persist]] with its efforts to bring about peace.
thirst|[sing.] the feeling of wanting or needing a drink 渴；口渴|"e.g. After walking five miles, they had worked up a great [[thirst]] and decided to stop for water."
ideology|"[C, U] a set of beliefs on which a political or economic system is based, or which strongly influence the way people behave 思想（体系）；思想意识"|"e.g. To put it another way, the analysis lacks both a sense of humanism and a theory of [[ideology]]."
allure|"[U, sing.] a mysterious, exciting, or desirable quality 诱惑；魅力；吸引力"|"e.g. There will always be ""lost in translation"" moments, but that's part of the [[allure]] of foreign travel."
intrinsic|being part of the nature or character of sb. / sth. 本质的；内在的；固有的|e.g. The [[intrinsic]] value of a coin is the value of the metal it is made of.
romance|"1) [U] the feeling of excitement and adventure that is related to a particular place, activity, etc. 传奇色彩；浪漫情调"|"e.g. There are plenty of ways to see the country this summer, but few can beat the [[romance]] of traveling on a steam train.；e.g. Hemingway's [[romance]] with his nurse inspired him to write A Farewell to Arms."
romance|2) [C] an exciting and often short relationship between two people who love each other 罗曼史；风流韵事|"e.g. There are plenty of ways to see the country this summer, but few can beat the [[romance]] of traveling on a steam train.；e.g. Hemingway's [[romance]] with his nurse inspired him to write A Farewell to Arms."
interpret|1) believe that sth. sb. does or sth. that happens has a particular meaning 把···理解（解释）为|e.g. His refusal to work late was [[interpreted]] as a lack of commitment to the company.；e.g. She couldn't speak much English so her children had to [[interpret]] for her while traveling in the UK.
interpret|2) translate spoken words from one language into another 口译|e.g. His refusal to work late was [[interpreted]] as a lack of commitment to the company.；e.g. She couldn't speak much English so her children had to [[interpret]] for her while traveling in the UK.
durable|1) continuing for a long time 持久的|"e.g. The feelings that arise in that condition are simpler, more understandable, and more [[durable]].；e.g. Fine bone china is very practical due to the fact that it is strong and [[durable]]."
durable|"2) staying in good condition for a long time, even if used a lot 耐用的"|"e.g. The feelings that arise in that condition are simpler, more understandable, and more [[durable]].；e.g. Fine bone china is very practical due to the fact that it is strong and [[durable]]."
testament|[C] (fml.) (be a ~ to sth.) prove or show very clearly that sth. exists or is true 是···的证据；是···的证明|e.g. The new model is a [[testament]] to the skill and dedication of the workforce.
dazzle|1) make sb. feel strong admiration 使···倾倒|"e.g. As children, we were [[dazzled]] by my uncle's good looks and charm.；e.g. Drivers are supposed to slow down or pull over when they are [[dazzled]] by bright sunlight."
dazzle|2) makes sb. unable to see properly for a short time （因强光、闪烁等）使···目眩；使···眼花缭乱|"e.g. As children, we were [[dazzled]] by my uncle's good looks and charm.；e.g. Drivers are supposed to slow down or pull over when they are [[dazzled]] by bright sunlight."
retrace|1) repeat exactly the same journey that sb. else has made 重走（别人走过的路程）|e.g. They are hoping to [[retrace]] the [[epic]] voyage of Christopher Columbus.；e.g. By trailing a thread behind them spiders are able to drop from any height to the ground and to [[retrace]] their steps with certainty to a particular spot.
retrace|2) go back exactly the way you have come 顺原路返回；折返|e.g. They are hoping to [[retrace]] the [[epic]] voyage of Christopher Columbus.；e.g. By trailing a thread behind them spiders are able to drop from any height to the ground and to [[retrace]] their steps with certainty to a particular spot.
Buddhist|a.relating or referring to Buddhism 佛教的|e.g. Lingyin Temple is a famous [[Buddhist]] temple situated in the northwest of Hangzhou.
