ambition|"【n.】 1) [U] determination to be successful, rich, powerful, etc. 抱负；雄心；野心"|She was intelligent but suffered from a lack of ambition.
ambition|【n.】 2) [C] a strong desire to achieve sth. 追求；夙愿；理想|"Earlier this year, he achieved his ambition of competing in the Olympic Games."
ambitious|"【a.】 determined to be successful, rich, powerful, etc. 有抱负的；有雄心的；野心勃勃的"|She's extremely ambitious and intends to be running her own company by the time she's 30.
someday|"【ad.】 (also 'some day') at an unknown time in the future, esp. a long time in the future 将来会有一天；有朝一日"|" He hopes, someday, to have his own business."
matter-of-factly|"【ad.】 in a way that shows no emotion when you are talking about sth. exciting, frightening, etc. 就事论事地；不带感情地；实事求是地"|"To my surprise, he spoke about his divorce matter-of-factly."
biology|【n.】 [U] the scientific study of living things 生物学|Students might pursue a degree in biology as a path to medical school or a variety of professions.
resolve|【vt.】 find a satisfactory way of dealing with a problem or difficulty 解决（问题、困难）|"There weren't enough beds, but the matter was resolved by George sleeping on the sofa."
fiction|【n.】 [U] books and stories about imaginary people and events 小说|The book is a work of fiction and not intended as a historical account.
freshman|【n.】 [C] (AmE) a student in the first year of high school or university （高中或大学的）一年级学生|It is necessary for freshmen to get to know their new studying environment in university as soon as possible.
pretend|"【v.】 behave as if sth. is true when in fact you know it is not, in order to deceive people or for fun 假装；装作"|She pretended that she was not at home when we rang the bell.
desperate|【a.】 1) (~ for sth.; ~ to do sth.) needing or wanting sth. very much 非常需要···的；极其需要···的|The healthcare industry is desperate for solutions to its business models.
desperate|"【a.】 2) willing to do anything to change a very bad situation, and not caring about danger （为了改变糟糕境遇而）不惜冒险的，拼命的，绝望的"|I had no money left and was desperate.
buddy|【n.】 [C] (infml.) a friend 朋友；伙伴|Bob and I have been great buddies for years.
entertaining|【a.】 amusing and interesting 使人愉快的；有趣的|"His books aren't particularly well-written, but they're always entertaining."
apologetic|"【a.】 showing or saying that you are sorry that sth. has happened, esp. because you feel guilty or embarrassed about it 道歉的；谢罪的；愧疚的"|  She was apologetic about my injury.
attain|【vt.】 succeed in achieving sth. after trying for a long time （通过长时间努力而）得到，获得，赢得|  More and more women are attaining positions of power.
attainable|"【a.】 possible to achieve, reach, or get 可以达到的；可以获得的"|  We must make sure that we do not set ourselves goals that are not attainable.
determination|【n.】 [U] the quality of trying to do sth. even when it is difficult 决心；坚韧；毅力|  He shows great determination to learn English.
realistic|【a.】 accepting things as they are in fact and not making decisions based on unlikely hopes for the future 现实的；实际的；实事求是的|  Let's be realistic about this 一 I just can't afford to pay that much money.
jungle|"【n.】 [C, U] a thick tropical forest with many large plants growing very close together （热带）丛林"|  We had to cut our way through dense jungle.
fated|【a.】 certain to happen or to do sth. because a mysterious force is controlling events 命运决定的；命中注定的|  She says she was fated to become a writer.
adventurous|【a.】 1) eager to go to new places and do exciting or dangerous things 喜欢冒险的；有冒险精神的|  I took an adventurous ski trip in Austria last year.
adventurous|【a.】 2) not afraid of taking risks or trying new things 大胆创新的|"  Warren is a very adventurous cook, always trying to make new dishes."
exotic|【a.】 sth. that is exotic seems unusual and interesting because it is related to a foreign country 异国风情的；外国情调的|  She likes traveling to all kinds of exotic locations.
string| [n.] 1) [C] (~ of) a group of similar things 一系列|  We've had a string of complaints about the program.
string|" [n.] 2) [C, U]（由几股合成的）线，细绳，带子"|  Her key hung on a string around her neck.
string|" [vt.]3) (strung, strung) put things together onto a thread, chain, etc. 用（线、 链等）穿起来"|  She had strung the shells on a silver chain.
conflict|"【n.】 [C, U] a state of disagreement or argument between people, groups, countries, etc. （意见等的）抵触，冲突，矛盾"|  She found herself in conflict with her parents over her future career.
whole-heartedly|"【ad.】 in a way that involves all your feelings, interest, etc. 全心全意地；全力以赴地"|  I agree whole-heartedly with the mayor on this issue.
single-mindedly|"【ad.】 if one person does sth. single-mindedly, they have one clear aim and work very hard to achieve it 一心一意地；专心致志地"|  His ability to concentrate single-mindedly on the most important thing leads to his success.
greedy|"【a.】 always wanting more food, money, power, possessions, etc. than you need 贪婪的；贪心的； 贪吃的；贪喝的"|  He looked at the gold with greedy eyes.
chaotic|【a.】 a chaotic situation is one in which everything is happening in a confused way 混乱的； 毫无秩序的|  The traffic in the city is chaotic in the rush hour.
overdue|"【a.】 1) if sb. /sth. is overdue, they should have arrived before now 迟到的；延误的"|"  If you're overdue for a vacation, you can prepare for an adventure instead of cancelling it."
overdue|"【a.】 2) not done, paid, returned, etc. by the time expected 过期未完成的；过期未付的；过期未还的"|  These books are overdue and you should pay a fine.
