alley|" 【n.】 [C] (also 'alleyway') a narrow street between or behind buildings, not usually used by cars 小巷； 胡同"|A narrow alley led up between the houses to the main street.
layout|" 【n.】 [C] the way in which the parts of sth. such as the page of a book, a garden, or a building are arranged 布局；布置；设计；安排"|All the flats in the building have the same layout.
neighborhood| 【n.】 [C]  a district or an area of a town 街区；城区|Jessica and Jason grew up in the same neighborhood of Boston.
excitement| 【n.】 [U] the state of feeling excited 激动；兴奋；刺激|The children were filled with excitement at the thought of visiting Disneyland.
spirited| 【a.】 having energy and determination 精神饱满的；生气勃勃的；有决心的|"At the end of the day, the usually cheerful and spirited girl was worn out."
tile| 【n.】 [C] （铺屋顶的）瓦，瓦片|
characteristic| 【a.】 (~ of) very typical of a particular thing or of sb.'s character 典型的；独特的|"Personality is often defined as an individual's characteristic way of thinking, feeling, and behaving."
impress| 【vt.】 make sb. feel admiration and respect 使钦佩；使留下深刻印象|None of the people I've interviewed so far has impressed me.
distinguish| 【vt.】be the thing that makes sb. / sth. different or special 使有区别；使有特色|The factor that distinguishes this company from its competitors is customer service.
distinguish| 【v.】recognize and understand the difference between two or more things or people 区分； 辨别|At what age are children able to distinguish between right and wrong?
connection|" 【n.】 [C] the way in which two facts, ideas, events, people, etc. are related to each other, and one is affected or caused by the other 联系；关联"|There is a connection between pollution and the death of trees.
commune| 【n.】 [C] A group of people who live together and who share the work and their possessions 群居团体；社区|She went to California and joined a commune.
communal|" 【a.】 shared by a group of people or animals, esp. a group who live together （为同一群体所）共有的，共用的，共享的"|As a student he tried communal living for a few years.
including| 【prep.】 having sth. as part of a group or set 包括···在内|I've got three days' holiday including New Year's Day.
Westerner| 【n.】 [C] sb. from the western part of the world 西方人；西洋人；欧美人|What is difficult for Westerners to understand is the real meaning of these cultural customs.
dawn|" 【n.】 [C, U] the time at the beginning of the day when light first appears 黎明；破晓"|I don't think he went to sleep until dawn.
outdoor|" 【a.】 (only before noun) existing, happening, or used outside, not inside a building （在）户外的；用于户外的"|I love outdoor activities such as walking and camping.
cheerful|" 【a.】 happy, or behaving in a way that shows you are happy 高兴的；兴高采烈的"|Before the accident he had been cheerful and confident.
matchmaker| 【n.】 [C] sb. who tries to find a suitable partner for sb. else to marry 媒人|"Ours, after all, was not a marriage arranged by a matchmaker or by our parents."
vender|" 【n.】 [C]  sb. who sells things, esp. on the street （尤指街上的）小贩"|He bought a copy from a newspaper vender.
pedal|" 【v.】 (AmE) (~ up ∕ along ∕ down, etc.) ride a bicycle 骑（自行车）"|Andrew pedaled up the road toward the town center.
trademark|" a.】of or being a distinctive, identifying feature or characteristic 特有的；标志性的"|She was about to burst into her trademark laughter when her mom silenced her.
trademark|" n.】[C] a special name, sign, or word that is marked on a product to show that it is made by a particular company, that cannot be used by any other company （公司某一产品的）商标"|"The big letter ""M"" is McDonald's best-known trademark."
distract| 【vt.】 take sb's attention away from sth. by making them look at or listen to sth. else 分散（注意力）；使分心|Try not to distract the other students.
distracting| 【a.】 preventing you from concentrating on sth. 分散注意力的；使人分心的|I find it too distracting to work with the television on.
high-pitched| 【a.】 (of sounds) very high （声音）很高的；尖厉的|I could hear high-pitched laughter coming from the girls' bedroom.
dealer| 【n.】 [C] sb. who buys and sells a particular product 交易商；贸易商|She bought the painting from a Swiss art dealer two months ago.
register| [n.][C] the range of musical notes that sb.'s voice or a musical instrument can reach （嗓音或乐器的）音域，声区，音区|Singers have to learn how to sing in the upper register.
register| [v.]put sb.'s / sth.'s name on an official list 记录；登记|How many students have registered for English classes this semester?
sharpen|" 【v.】 make sth. have a sharper edge or point, or become sharper （使）变锋利（尖锐）"|Anne sharpened her pencil and got out her homework.
sharpener| 【n.】 [C] a person or device that makes sth. sharp 削磨的人；磨具；削具|You can buy the best pencil sharpeners at low prices in our store.
clack| 【n.】 [sing.] the short loud sound of one hard object hitting against another 硬物撞击声；咔哒声；啪嗒声|I heard the clack of high heels as she crossed the yard.
soothe|" 【vt.】 make sb. feel calmer and less anxious, upset, or angry 抚慰；安慰；使平静"|Lucia soothed the baby by rocking him in her arms.
soothing|" 【a.】 making you feel calm and less nervous, worried, or upset 抚慰的；安慰的"|"My mother had a gentle, soothing voice."
reminder|" 【n.】 [C] sth. that makes you notice, remember, or think about sth. 起提醒作用的事物"|The town wanted to forget the war but the destroyed bridge was a painful reminder.
bustling| 【a.】 (~ with) full of people moving about in a busy way 繁忙的；熙熙攘攘的|The flower market was bustling with shoppers.
psyche|" 【n.】 [C, usu. sing.] sb.'s mind, or their deepest feelings, which control their attitudes and behavior 心灵；灵魂；精神"|"She knew, at some deep level of her psyche, that what she was doing was wrong."
greet| 【vt.】 say hello to sb. or welcome them 问候；迎接；招呼|She greeted each of the guests as they came through the door.
bubble| 【n.】 [C] a ball of air or gas in liquid （液体中的）气泡，泡沫|"When water boils, bubbles rise to the surface."
emphasize| 【vt.】 give special importance to sth. 强调；重视；着重|The report emphasizes the importance of improving safety standards.
dynamism| 【n.】 [U] energy and enthusiasm to make new things happen or to make things succeed 精力；活力；劲头|People responded positively to Ruth's cheerfulness and dynamism.
repeatedly|【ad.】 many times 再三地；重复地|Sam was repeatedly warned not to work so hard.
colleague|【n.】 [C] sb. you work with — used esp. by professional people 同事；同僚（尤为专业人士所用）|She discussed the idea with some of her colleagues.
decline| 【v. 】(fml.) refuse politely to accept or to do sth. 谢绝；婉言拒绝|The Prime Minister was asked for his opinion but he declined to comment.
decline| 【vi.】decrease in quantity or importance 减少；降低|Spending on information technology has started to decline in recent years.
