disclose|"(fml.) make sth. publicly known, esp. after it has been kept secret 透露；揭露；泄露"|e.g. The spokesman of the company refused to [[disclose]] more details of their latest project to the press.|
codger|(old ~ ) (infml. not polite) an offensive word for an old man 老家伙；老东西||
commonplace|"happening or existing in many places, and therefore not special or unusual 常见的；屡见不鲜的"|"e.g. With the improvement of people's living standard, foreign travels have become [[commonplace]]."|
replacement|"[C] a thing that replaces sth, esp. because the first thing is old, broken, etc. 替代品；替换物"|"e.g. Just two months ago, he underwent hip [[replacement]] surgery that cost $120,000."|
abolish|"officially get rid of a law, system, practice, etc. 废止；废除；取消"|e.g. It was only at the very end of the 19th century that this practice was [[abolished]].|
suspend|"stop sth. from being active, either temporarily or permanently 暂停 ; 中止"|e.g. We have decided to [[suspend]] all production at the factory until safety checks can be carried out.|
optimist|[C] sb. who believes that good things will happen 乐观者；乐观主义者|e.g. He's an eternal [[optimist]]. He always expects good things to happen or things to be successful.|
prolong|deliberately make sth. such as a feeling or an activity last longer 延长，拉长，拖长（感觉或活动）|e.g. Doctors say these new drugs can reduce pain and [[prolong]] life for two or three years.|
immediate|"1) (only before noun) existing now, and needing to be dealt with quickly 目前的；当下的；紧迫的"|"e.g. Let's try and solve the most [[immediate]] problems before they get worse.；e.g. If the eyes are affected by the drug, you must seek [[immediate]] medical attention."|
immediate|2) happening or done at once and without delay 立刻的；即刻的|"e.g. Let's try and solve the most [[immediate]] problems before they get worse.；e.g. If the eyes are affected by the drug, you must seek [[immediate]] medical attention."|
inaccessible|1) difficult or impossible to afford or understand 得不到的；难懂的|e.g. The language of teenagers is often completely [[inaccessible]] to the elderly.；e.g. A long flight of stairs made the center of the museum [[inaccessible]] to disabled visitors.|
inaccessible|2) difficult or impossible to reach 难到达的 ; 不可及的|e.g. The language of teenagers is often completely [[inaccessible]] to the elderly.；e.g. A long flight of stairs made the center of the museum [[inaccessible]] to disabled visitors.|
discriminate|treat a person or group differently from another in an unfair way （不公正地）区别对待，歧视|e.g. Caulfield claimed the company had [[discriminated]] against him because of his nationality.|
whip|[C] 鞭子||
youthfully|"in a way that is similar to, typical of, or relates to young people 年轻地；像年轻人地；具有年轻人特点地"|e.g. Melania believes that dressing [[youthfully]] is about keeping up with trends.|
vigorous|1) strong and healthy 强健的；精力旺盛的|"e.g. Cutting the bush back in the autumn will help promote [[vigorous]] growth in the spring.；e.g. According to a recent survey, a quarter of people over 12 get no [[vigorous]] exercise at all."|
vigorous|2) using a lot of energy and strength or determination 强度大的；积极的|"e.g. Cutting the bush back in the autumn will help promote [[vigorous]] growth in the spring.；e.g. According to a recent survey, a quarter of people over 12 get no [[vigorous]] exercise at all."|
hidebound|having old-fashioned attitudes and ideas — used to show disapproval 古板的，守旧的（含贬义）|"e.g. Tim was rude, unable to bear criticism, and more and more [[hidebound]] in his views as he got older."|
recapture|bring back the same feelings or qualities that you experienced in the past 使重温；使再次经历|e.g. I would say the film successfully [[recaptured]] the joyful atmosphere of those days.|
portfolio career|"[C] a working life in which you have several different jobs at one time, or a series of different kinds of job 组合型职业"|e.g. There is a trend toward more temporary employment and [[portfolio]] careers.|
accordingly|in a way that is suitable for a particular situation or that is based on what sb. has done or said 相应地|e.g. It is said that the new employee has broken the rule and will be punished [[accordingly]].|
laborer|"[C]  sb. whose work needs physical strength, for example building work 体力劳动者；工人"|e.g. Matthew has worked as a [[laborer]] in factories and on construction sites since he left his hometown.|
accountant|"[C] sb. whose job is to keep and check financial accounts, calculate taxes, etc. 会计师；会计"|e.g. People setting up business on their own really need to employ an [[accountant]].|
speculation|"[C, U] the act of guessing about the possible causes or effects of sth. without knowing all the facts, or the guesses that you make 猜测；推测"|e.g. There has been a great deal of [[speculation]] about what will happen after the president resigns.|
trap|1) an unpleasant or difficult situation that is difficult to escape from 牢笼；困境|e.g. Don't fall into the [[trap]] of investing all your money in one place.|
trap|2) （捕捉动物的）夹子，罗网，陷阱|e.g. Don't fall into the [[trap]] of investing all your money in one place.|
eternal|continuing forever and having no end 永远的；永恒的|e.g. Three teenage girls took a vow (誓言) of [[eternal]] friendship during the summer of 1985.|
wither|(cause to) dry and die 枯萎；干枯|e.g. It is a pity that the spring flowers were already beginning to [[wither]].|
cicada|[C] 蝉||
caution|"warn sb. that sth. might be dangerous, difficult, etc. 警告；告诫；提醒"|e.g. The business report released on Wednesday [[cautioned]] investors against over-optimistic expectations.|
terrific|"(infml.) very good, esp. in a way that makes you feel happy and excited 极好的；极棒的"|e.g. The actress who played the fashion designer in the movie was absolutely [[terrific]]!|
cram|force sth. into a small space 把···塞进（小空间）；硬塞|e.g. You have to be realistic — it's difficult to [[cram]] everything into a tight schedule.|
cope|succeed in dealing with a difficult problem or situation （成功地）应付，对付|e.g. Some parents feel that they have got to the stage where they aren't able to [[cope]] on their own.|
mortal|not able to live forever 不会长生不死的；终有一死的|"e.g. Her father's death reminded her that she was [[mortal]], and it made her very sad."|
immortality|[U] the state of living forever or being remembered forever 永生；长存；永恒|e.g. Some people want to achieve [[immortality]] through their works.|
fantasist|"[C] sb. who often has fantasies, or who confuses fantasy and what is real 幻想家；空想家；不切实际者"|"e.g. He is neither a liar nor a [[fantasist]], and he is careful about what he says."|
bucket list|a list of things that you want to do before you die 人生心愿清单|e.g. Traveling to the Potala Palace in Tibet has been on my [[bucket]] list for years.|
cheat death / fate| etc.|manage to avoid death or a very bad situation even though it seemed that you would not be able to 死里逃生；逃脱厄运等|e.g. Could you explain to us how you [[cheated]] death at every stage of the journey?
over the hill|"no longer young, and therefore no longer attractive or good at doing things 不再年轻；人老珠黄"|"e.g. Kathleen thinks she's [[over]] the [[hill]], but she's only 32."|
on offer|"available to be bought, chosen, or used 可买到的； 供使用的；提供的"|"e.g. Activities [[on]] [[offer]] at the beach include sailing, rowing, canoeing and camping."|
on the  its way|arriving or happening soon 即将到达（发生）|e.g. Economists agree that the economic situation is good and recovery is [[on]] the [[way]].|
be in the cards| seem likely to happen 很可能发生|e.g.- So you think they'll get married next year? - I think it's in the [[cards]].|
wear out|"become damaged and useless, or make sth. like this, by using it a lot or for a long time 用坏 ;（使）磨损"|e.g. I bought a pair of boots three years ago and they are beginning to [[wear]] out.|
set up shop|start a business 开业|e.g. Dr. Rosen closed his downtown practice and [[set]] up [[shop]] in a suburban neighborhood.|
run in the family|"if sth. such as a quality, disease, or skill runs in the family, many people in that family have it （某种品质、疾病、技能等）在家族中遗传，是家族特征"|e.g. All the three kids of the Thompsons are good musicians. The musical talent seems to [[run]] in the [[family]].|
the whip hand|sb. who has the whip hand is in a good position because they can make other people do what they want 支配权；控制权|"e.g. During the last decade, the right wing of the party has held the [[whip]] [[hand]] over the country."|
